country,phenomena_count,max_observed_mag,doublet_count,years_span,annual_rate,prob_1y,prob_5y,prob_10y,b_value,mag_p10_exceedance
Utah,3,6.6,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Iraq,2,7.3,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Indonesia Earthquake,2,8.3,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Chile Earthquake,2,8.8,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Armenia,2,6.8,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Anguilla,2,6.25,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Spain,2,6.42,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Idaho,2,6.9,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Malawi,2,6.2,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Zambia,2,6.53,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Vietnam,2,6.9,1,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Taiwan Earthquake,2,8.23,1,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Somalia,2,6.01,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Ukraine,2,6.71,1,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
French Polynesia region,2,6.0,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Montana Earthquake,2,7.2,2,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
New Zealand Earthquake,2,8.2,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Saint Kitts and Nevis,2,6.5,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Montana,2,6.13,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Madagascar,2,6.15,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Russia Earthquake,2,8.8,0,159.0,0.012578616352201259,0.012499836218510807,0.060956130761183225,0.11819661164499196,1.042324686547847,6.95939395171765
Australia region,1,6.46,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Botswana,1,6.5,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
California Earthquakes (First Major Event),1,6.0,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
California-Baja California,1,6.4,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Ecuador region,1,6.15,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Dominica,1,6.38,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Comoros,1,6.2,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Burundi,1,6.2,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Burma (Myanmar) Earthquake,1,7.7,1,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Canada region,1,6.13,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Libya,1,6.4,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Maldives,1,7.36,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Guinea,1,6.3,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
India Earthquake,1,7.9,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Gabon,1,6.2,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Ghana,1,6.4,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Italy Earthquake and Tsunami,1,7.09,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Lesotho,1,6.11,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Kenya,1,6.65,1,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Kahramanmaras earthquake sequence,1,7.8,1,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
NV Earthquake,1,6.5,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Nevada (Foreshock),1,6.8,1,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
México,1,7.1,1,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Saint Vincent and the Grenadines,1,6.1,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Saint Lucia,1,7.3,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Pakistán,1,7.0,1,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Oman,1,6.1,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Saudi Arabia,1,6.13,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
South Korea,1,6.2,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Saint Pierre and Miquelon,1,7.2,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Switzerland,1,6.15,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Southwestern Alaska,1,6.9,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Syria,1,6.38,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Turquía,1,7.5,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
Utah Earthquake,1,6.6,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
earthquake,1,6.7,0,159.0,0.006289308176100629,0.006269571875003321,0.03095724075827455,0.060956130761183225,1.042324686547847,6.95939395171765
